time 0, 4 loaded, numprocesses=1, numholes=1, memusage=10%
time 7, 2 loaded, numprocesses=2, numholes=1, memusage=14%
time 14, 1 loaded, numprocesses=3, numholes=1, memusage=24%
time 21, 3 loaded, numprocesses=4, numholes=1, memusage=24%
time 28, 10 loaded, numprocesses=5, numholes=1, memusage=29%
time 35, 7 loaded, numprocesses=6, numholes=1, memusage=79%
time 42, 12 loaded, numprocesses=4, numholes=2, memusage=77%
time 49, 5 loaded, numprocesses=5, numholes=2, memusage=85%
time 54, 1 loaded, numprocesses=5, numholes=3, memusage=45%
time 58, 2 loaded, numprocesses=5, numholes=3, memusage=27%
time 65, 4 loaded, numprocesses=6, numholes=3, memusage=36%
time 72, 24 loaded, numprocesses=4, numholes=2, memusage=69%
time 75, 3 loaded, numprocesses=4, numholes=2, memusage=59%
time 81, 5 loaded, numprocesses=4, numholes=3, memusage=63%
time 82, 10 loaded, numprocesses=4, numholes=3, memusage=58%
time 89, 18 loaded, numprocesses=5, numholes=3, memusage=64%
time 117, simulation finished.
