time 0, 4 loaded, numprocesses=1, numholes=1, memusage=4%
time 7, 6 loaded, numprocesses=2, numholes=1, memusage=14%
time 14, 3 loaded, numprocesses=3, numholes=1, memusage=24%
time 21, 5 loaded, numprocesses=4, numholes=1, memusage=24%
time 28, 9 loaded, numprocesses=5, numholes=1, memusage=74%
time 35, 12 loaded, numprocesses=6, numholes=1, memusage=79%
time 42, 14 loaded, numprocesses=4, numholes=2, memusage=77%
time 49, 7 loaded, numprocesses=5, numholes=2, memusage=89%
time 54, 15 loaded, numprocesses=3, numholes=2, memusage=74%
time 58, 24 loaded, numprocesses=3, numholes=2, memusage=62%
time 65, 3 loaded, numprocesses=4, numholes=2, memusage=72%
time 72, 4 loaded, numprocesses=5, numholes=2, memusage=75%
time 79, 6 loaded, numprocesses=6, numholes=2, memusage=85%
time 82, 5 loaded, numprocesses=6, numholes=3, memusage=75%
time 85, 9 loaded, numprocesses=5, numholes=2, memusage=74%
time 86, 15 loaded, numprocesses=2, numholes=2, memusage=90%
time 93, 5 loaded, numprocesses=2, numholes=1, memusage=41%
time 100, 6 loaded, numprocesses=3, numholes=1, memusage=50%
time 107, 24 loaded, numprocesses=4, numholes=1, memusage=60%
time 126, simulation finished.
