fecundity,line
12.8,R
21.6,R
14.8,R
23.1,R
34.6,R
19.7,R
22.6,R
29.6,R
16.4,R
20.3,R
29.3,R
14.9,R
27.3,R
22.4,R
27.5,R
20.3,R
38.7,R
26.4,R
23.7,R
26.1,R
29.5,R
38.6,R
44.4,R
23.2,R
23.6,R
38.4,S
32.9,S
48.5,S
20.9,S
11.6,S
22.3,S
30.2,S
33.4,S
26.7,S
39,S
12.8,S
14.6,S
12.2,S
23.1,S
29.4,S
16,S
20.1,S
23.3,S
22.9,S
22.5,S
15.1,S
31,S
16.9,S
16.1,S
10.8,S
35.4,N
27.4,N
19.3,N
41.8,N
20.3,N
37.6,N
36.9,N
37.3,N
28.2,N
23.4,N
33.7,N
29.2,N
41.7,N
22.6,N
40.4,N
34.4,N
30.4,N
14.9,N
51.8,N
33.8,N
37.9,N
29.5,N
42.4,N
36.6,N
47.4,N
