rain,seeding
4.9,control
95,control
29,control
28.6,control
11.5,control
1,control
81.2,control
830.1,control
26.1,control
345.5,control
321.2,control
17.3,control
147.8,control
47.3,control
36.6,control
21.7,control
41.1,control
1202.6,control
26.3,control
24.4,control
68.5,control
87,control
372.4,control
4.9,control
163.3,control
244.3,control
198.6,seeded
32.7,seeded
274.7,seeded
978,seeded
430,seeded
1697.8,seeded
115.3,seeded
302.8,seeded
274.7,seeded
2745.6,seeded
7.7,seeded
129.6,seeded
118.5,seeded
489.1,seeded
242.5,seeded
31.4,seeded
200.7,seeded
119,seeded
255,seeded
17.5,seeded
92.4,seeded
1656,seeded
4.1,seeded
40.6,seeded
334.1,seeded
703.4,seeded
